MPN,Per board,Boards,Required,DigiKey stock observed,Checked UTC date,Product URL,Assembly
RT0603BRD0756K2L,1,3,3,29293,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RT0603BRD0756K2L/1072581,SMD
RC0603FR-0710RL,2,3,6,5764,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RC0603FR-0710RL/726879,SMD
RC0603FR-078K25L,1,3,3,132942,2026-09-19,https://www.digikey.com/en/products/detail/yageo/RC0603FR-078K25L/730338,SMD
C0805C103J5GACTU,1,3,3,33371,2026-09-19,https://www.digikey.com/en/products/detail/kemet/C0805C103J5GACTU/2211711,SMD
SMCJ16A,1,3,3,14733,2026-09-19,https://www.digikey.com/en/products/detail/littelfuse-inc/SMCJ16A/762384,SMD
STPS41L60CG-TR,1,3,3,6464,2026-09-19,https://www.digikey.com/en/products/detail/stmicroelectronics/STPS41L60CG-TR/1865307,SMD
CL21B473KBCNNNC,8,3,24,59830,2026-09-19,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B473KBCNNNC/3886908,SMD
0287005.PXCN,5,3,15,75706,2026-09-19,https://www.digikey.com/en/products/detail/littelfuse-inc/0287005-PXCN/2519811,Hardware
0287010.PXCN,2,3,6,54580,2026-09-19,https://www.digikey.com/en/products/detail/littelfuse-inc/0287010-PXCN/2519807,Hardware
0287020.PXCN,1,3,3,62278,2026-09-19,https://www.digikey.com/en/products/detail/littelfuse-inc/0287020-PXCN/2519821,Hardware
R30-1001002,4,3,12,9688,2026-09-19,https://www.digikey.com/en/products/detail/harwin-inc/R30-1001002/3728277,Hardware
